epoch,train_loss,val_loss,train_acc,val_acc
1,0.012309550617291764,0.008752465313998736,0.9453586438205885,0.9591567355558908
2,0.008153937660434084,0.0077884135105958895,0.9597584627619613,0.9604766933172424
3,0.007359499611614358,0.0072540527184069975,0.9616224864756121,0.9621234977623573
4,0.006713725980425337,0.006729275145525665,0.9646778508089485,0.9670010559662091
5,0.006119209648200898,0.006239461246877909,0.9683084534889934,0.9689244229898929
6,0.005568162888041113,0.005743483973936489,0.9720742214636201,0.9720043244330467
7,0.005033343446682171,0.005321434801277226,0.9754942177544329,0.9745311007190627
8,0.0045538350784335565,0.004915308738825597,0.9781692332355743,0.9776361442148137
9,0.004068576626737094,0.004676675639845974,0.9808285318219967,0.9788681047920752
10,0.003800462296270574,0.004532300983924407,0.9823939345359901,0.9789686730024639
11,0.0034701135247445112,0.00415692410462289,0.9840347783446338,0.9812943128677025
12,0.0031311477114151307,0.003961853382306482,0.9857510632479277,0.9828028360235329
13,0.0029222465224337346,0.0037234704090831085,0.9870052714464886,0.9838336601800171
14,0.0026803887107236355,0.003726099569098719,0.9882060422030057,0.9832679639965807
15,0.002465669138487867,0.0035380073151833435,0.9896394230013611,0.9842485040478705
16,0.0022953399896755234,0.003541046540855716,0.9905887234423771,0.9849273394679942
17,0.0021344610659644243,0.0031375068765027406,0.9915694576728308,0.9866747121234978
18,0.001965515395499536,0.002986927324740773,0.9926193462400473,0.987642681148489
19,0.0018133639528169143,0.0029766895368679522,0.9934429115233129,0.987642681148489
20,0.0016971531344867968,0.0029220979059864437,0.9939332786385398,0.9883340875949113
21,0.0015848428745519772,0.0028549998697707745,0.9947191233744802,0.98852265298939
22,0.0014778750734235895,0.0027144840331364585,0.9953635160579514,0.9897169004877558
23,0.0013961984677104632,0.002611409414484861,0.9959198941309971,0.9897671845929502
24,0.0012942045974600573,0.0026225233748024125,0.9963851142146739,0.9899431789611304
25,0.0011949417967241336,0.002516185054201495,0.9969509224245511,0.990320309750088
26,0.001109729437436312,0.002513160378600391,0.9973909954766778,0.9905717302760597
27,0.0010449865664046163,0.002493855409440216,0.9977399105394352,0.9908482928546286
28,0.000978262812950973,0.002389596528821126,0.9980982557390241,0.9914265600643637
29,0.0009506746244653877,0.002490166094303603,0.9982994319914249,0.9916402675114396
30,0.0009151759672012342,0.002510137923372616,0.9984786045912193,0.9914642731432595
31,0.0008669702967343151,0.002462483012169568,0.9986200566436886,0.9917408357218284
32,0.0008077023051086738,0.0023913305280326915,0.9988715269591895,0.9919168300900085
33,0.0007605964720641525,0.0023896368077848946,0.9990789899694777,0.9924699552471464
34,0.0007227916350668799,0.002394456796470042,0.9992015817482846,0.9926208075627294
35,0.0006890262978786995,0.002314223736522615,0.9992833096008223,0.9929099411675969
36,0.0006688669743943136,0.0025169512236327594,0.9993713242112476,0.9925956655101322
37,0.0006673301979011979,0.002327074225226844,0.9994310484111791,0.99306079348318
38,0.0006197897301046454,0.0022315906900165104,0.9994750557163917,0.9935007794036305
39,0.0006148663932417668,0.002345352734310244,0.9994781990953355,0.9931739327198672
40,0.0005699482125952986,0.0022916802868479125,0.9996605150740737,0.9936139186403178
41,0.0005577498597613456,0.0023503206006950505,0.9996573716951299,0.9937521999296023
42,0.0005286334847102907,0.0024007960296911607,0.999735956168724,0.9937019158244079
43,0.000514283270125598,0.0022600861657174833,0.9997673899581616,0.9939156232714839
44,0.0004977895740507354,0.002254470210687632,0.9997736767160491,0.9939659073766782
45,0.0005090954293539879,0.0022121493386472514,0.9997768200949929,0.9941921858500528
46,0.0004754898023316052,0.0023234235191641034,0.9998113972633743,0.9941041886659627
47,0.00047911522849658733,0.0022314686850382066,0.9997673899581616,0.9941796148237542
48,0.0004555566379972822,0.0022335365166791265,0.9998302575370369,0.9943933222708302
49,0.00043659428378218953,0.0022292116218282907,0.9998208274002056,0.9944058932971288
50,0.00042138645259126887,0.0022951446231670967,0.9999025552527434,0.9943178961130387
